(((4, 3), 'hit'), -0.18801911794908402)
(((3, 21.0), 'hit'), -0.6198471398021873)
(((1, 11.0), 'hit'), 0.2006208413305519)
(((2, 6), 'hit'), -0.02517552448271893)
(((4, 10), 'stick'), 0.1511471027399588)
(((9, 8), 'hit'), -0.2993666212327484)
(((1, 4), 'hit'), -0.046511975782508236)
(((4, 9.0), 'hit'), 0.00883666608039135)
(((5, 6), 'stick'), 0.10805128074033003)
(((8, 20.0), 'hit'), -0.62045647810674)
(((6, 5.0), 'hit'), -0.1863460181075606)
(((1, 20.0), 'stick'), 0.8509275434656033)
(((1, 13.0), 'stick'), 0.3198466046190937)
(((3, 18.0), 'hit'), -0.4025070993081681)
(((3, 6), 'hit'), -0.061443479914966334)
(((8, 16.0), 'hit'), -0.37171120505765654)
(((10, 11.0), 'stick'), -0.303349282296653)
(((2, 13.0), 'stick'), 0.2636800897267213)
(((4, 7), 'hit'), -0.0718386393019955)
(((1, 19.0), 'stick'), 0.7237255018059089)
(((8, 5), 'hit'), -0.31948651580005344)
(((4, 5), 'stick'), 0.15334673931984097)
(((2, 16.0), 'hit'), -0.2196016538157968)
(((1, 7), 'stick'), 0.31732423239945395)
(((10, 15.0), 'stick'), -0.29846515027353027)
(((9, 16.0), 'stick'), -0.2076174971080926)
(((4, 17.0), 'stick'), 0.25881640684122814)
(((4, 6), 'hit'), -0.0982297599770283)
(((10, 12.0), 'hit'), -0.23168071385397493)
(((4, 19.0), 'stick'), 0.6389483702117538)
(((6, 8.0), 'stick'), 0.06891525866390291)
(((1, 1), 'hit'), -0.16365982380711866)
(((8, 17.0), 'stick'), 0.04541027953110905)
(((3, 13.0), 'stick'), 0.20534603338052979)
(((5, 9), 'hit'), -0.022751153429522292)
(((2, 6), 'stick'), 0.2555931885569613)
(((1, 2), 'hit'), -0.11561431367302834)
(((7, 11.0), 'stick'), -0.02297344675511591)
(((6, 3), 'hit'), -0.24625689111789614)
(((1, 15.0), 'stick'), 0.3198124462447653)
(((4, 8), 'hit'), -0.0319856228601029)
(((5, 5), 'stick'), 0.10851410459791411)
(((8, 13.0), 'stick'), -0.11039724531788002)
(((6, 21.0), 'hit'), -0.6676949463778327)
(((9, 15.0), 'hit'), -0.34930981945587186)
(((1, 9.0), 'hit'), 0.13302926436720322)
(((3, 20.0), 'hit'), -0.5410450390085066)
(((6, 12.0), 'stick'), 0.06890690632020967)
(((10, 7), 'hit'), -0.39559839434099175)
(((2, 11.0), 'stick'), 0.2525173456680293)
(((10, 8), 'stick'), -0.29709196766372986)
(((4, 15.0), 'hit'), -0.18020607003210926)
(((7, 14.0), 'stick'), -0.022872871653715873)
(((9, 11.0), 'hit'), -0.13669411255852354)
(((3, 10.0), 'stick'), 0.20250784746223935)
(((4, 6), 'stick'), 0.1489757298890689)
(((6, 20.0), 'hit'), -0.5853721026564076)
(((10, 17.0), 'hit'), -0.46676616188215464)
(((8, 17.0), 'hit'), -0.41779839896062804)
(((2, 18.0), 'stick'), 0.5333550125429761)
(((4, 4.0), 'hit'), -0.15766366447462826)
(((5, 8), 'stick'), 0.10567728821413641)
(((5, 17.0), 'stick'), 0.21238537303294386)
(((1, 11.0), 'stick'), 0.3122668656080135)
(((8, 1), 'stick'), -0.11810325097812814)
(((2, 21.0), 'stick'), 0.9484722941481075)
(((3, 8), 'stick'), 0.202806431687038)
(((10, 16.0), 'stick'), -0.30062223911081926)
(((1, 3.0), 'hit'), -0.081541377781774)
(((5, 15.0), 'stick'), 0.11078916436596224)
(((10, 19.0), 'stick'), 0.45865492252400647)
(((3, 15.0), 'stick'), 0.19376318746060925)
(((3, 12.0), 'hit'), 0.04950995916359455)
(((6, 15.0), 'stick'), 0.0695726448626459)
(((1, 8.0), 'stick'), 0.3178197193132675)
(((9, 15.0), 'stick'), -0.20814548788874404)
(((2, 4), 'stick'), 0.2550078746586455)
(((6, 13.0), 'hit'), -0.10498801377034875)
(((5, 20.0), 'stick'), 0.7930226721325141)
(((7, 14.0), 'hit'), -0.21259370710787173)
(((2, 5), 'stick'), 0.2560394848646333)
(((2, 20.0), 'hit'), -0.5321844057202252)
(((6, 7), 'hit'), -0.13253551394443275)
(((7, 12.0), 'stick'), -0.02734955786837774)
(((5, 2), 'stick'), 0.10709491465461776)
(((6, 20.0), 'stick'), 0.7757869647406883)
(((5, 16.0), 'stick'), 0.11000383288616367)
